model,agent,pr_id,coverage_purpose,coverage_changes,rationale_clarity,commit_coverage,testing_guidance,readability
Deepseek-V3-0324,Claude_Code,3221520140,5,4,4,4,4,4
Deepseek-V3-0324,Claude_Code,3271050710,4,4,4,4,4,4
Deepseek-V3-0324,Claude_Code,3245584783,5,5,4,4,4,5
Deepseek-V3-0324,Claude_Code,3164567685,5,5,4,5,3,5
Deepseek-V3-0324,Claude_Code,2916677326,4,4,4,4,3,4
Deepseek-V3-0324,Claude_Code,3138387778,5,5,5,5,4,5
Deepseek-V3-0324,Claude_Code,3274362044,5,5,4,5,4,5
Deepseek-V3-0324,Claude_Code,3163243464,5,4,5,5,4,4
Deepseek-V3-0324,Claude_Code,3184725856,5,4,4,5,4,4
Deepseek-V3-0324,Claude_Code,3151873955,5,5,4,4,3,5
Deepseek-V3-0324,Claude_Code,2922676503,5,5,4,4,3,5
Deepseek-V3-0324,Claude_Code,3133399556,3,3,3,3,2,4
Deepseek-V3-0324,Claude_Code,3224085262,4,4,4,4,3,4
Deepseek-V3-0324,Claude_Code,3275149041,4,4,4,4,4,5
Deepseek-V3-0324,Claude_Code,3245011006,4,4,3,4,4,5
Deepseek-V3-0324,Claude_Code,3241545126,4,4,3,4,4,4
Deepseek-V3-0324,Claude_Code,3207221136,5,4,4,4,4,4
Deepseek-V3-0324,Claude_Code,3179729495,5,5,4,5,4,5
Deepseek-V3-0324,Claude_Code,3238330931,5,5,5,5,4,5
Deepseek-V3-0324,Claude_Code,3202135682,4,4,4,4,2,4
Deepseek-V3-0324,Claude_Code,3098972655,5,5,4,5,4,5
Deepseek-V3-0324,Claude_Code,3263199127,4,4,4,5,3,4
Deepseek-V3-0324,Claude_Code,3275455685,5,5,5,5,3,5
Deepseek-V3-0324,Claude_Code,3145249026,5,4,4,4,4,4
Deepseek-V3-0324,Claude_Code,3272275087,5,5,4,4,4,5
Deepseek-V3-0324,Claude_Code,3214876564,5,5,5,5,4,5
Deepseek-V3-0324,Claude_Code,3150393125,4,4,4,5,4,4
Deepseek-V3-0324,Claude_Code,3226475067,4,3,3,2,2,4
Deepseek-V3-0324,Claude_Code,3193786351,5,4,5,4,4,5
Deepseek-V3-0324,Claude_Code,3226434542,5,5,4,4,4,5
Deepseek-V3-0324,Claude_Code,3181578456,5,4,4,3,4,4
Deepseek-V3-0324,Claude_Code,3257359947,5,5,4,4,4,4
Deepseek-V3-0324,Claude_Code,3246635062,4,5,4,5,3,4
Deepseek-V3-0324,Claude_Code,3091332769,5,5,4,4,4,4
Deepseek-V3-0324,Claude_Code,3207921071,5,5,4,4,3,5
Deepseek-V3-0324,Claude_Code,3206510254,5,5,5,5,4,5
Deepseek-V3-0324,Claude_Code,2986072834,4,4,3,4,3,4
Deepseek-V3-0324,Claude_Code,2914376188,4,4,3,3,4,4
Deepseek-V3-0324,Claude_Code,3057825906,4,4,4,4,4,4
Deepseek-V3-0324,Claude_Code,3111420697,4,3,3,1,2,4
Deepseek-V3-0324,Claude_Code,3269032263,5,5,5,4,3,5
Deepseek-V3-0324,Claude_Code,3267602007,4,5,4,4,4,5
Deepseek-V3-0324,Claude_Code,3229333583,5,4,4,5,4,4
Deepseek-V3-0324,Claude_Code,2922672896,4,4,4,4,3,4
Deepseek-V3-0324,Claude_Code,3176357483,2,3,2,3,1,3
Deepseek-V3-0324,Claude_Code,3173971926,4,4,4,4,4,5
Deepseek-V3-0324,Claude_Code,3248210397,5,5,4,5,4,5
Deepseek-V3-0324,Claude_Code,3203910456,5,5,5,5,4,5
Deepseek-V3-0324,Claude_Code,3212306696,5,5,5,5,4,5
Deepseek-V3-0324,Claude_Code,3146518192,4,4,3,5,3,4
Deepseek-V3-0324,Claude_Code,3220223180,4,4,4,4,3,4
Deepseek-V3-0324,Claude_Code,2886171819,5,4,4,5,3,4
Deepseek-V3-0324,Claude_Code,3069942339,2,2,2,3,1,2
Deepseek-V3-0324,Claude_Code,3260720963,5,5,5,5,4,5
Deepseek-V3-0324,Claude_Code,3250080019,5,5,5,4,4,5
Deepseek-V3-0324,Claude_Code,3267198858,4,4,4,4,3,4
Deepseek-V3-0324,Claude_Code,3277570981,5,5,5,5,4,5
Deepseek-V3-0324,Claude_Code,3258872453,5,4,5,5,4,4
Deepseek-V3-0324,Claude_Code,3196885081,4,5,4,5,3,4
Deepseek-V3-0324,Claude_Code,3114327280,4,4,4,5,2,4
Deepseek-V3-0324,Claude_Code,3275448809,5,5,4,5,4,5
Deepseek-V3-0324,Claude_Code,2876533575,5,4,4,5,3,4
Deepseek-V3-0324,Claude_Code,3246680171,4,4,3,4,4,4
Deepseek-V3-0324,Claude_Code,3207894445,4,4,4,4,3,4
Deepseek-V3-0324,Claude_Code,3124293906,5,5,4,4,4,5
Deepseek-V3-0324,Claude_Code,3207914894,5,5,4,4,3,4
Deepseek-V3-0324,Claude_Code,3047699666,5,4,4,5,4,4
Deepseek-V3-0324,Claude_Code,3158818689,5,5,4,4,4,4
Deepseek-V3-0324,Claude_Code,3223177403,4,4,4,4,4,4
Deepseek-V3-0324,Claude_Code,3271988317,5,5,4,4,4,5
Deepseek-V3-0324,Claude_Code,3231952364,5,4,4,4,4,4
Deepseek-V3-0324,Claude_Code,3172647828,5,5,5,4,4,4
Deepseek-V3-0324,Claude_Code,3115558470,2,3,1,3,1,2
Deepseek-V3-0324,Claude_Code,3215730319,5,5,5,4,3,4
Deepseek-V3-0324,Claude_Code,3212961701,4,4,4,4,4,4
Deepseek-V3-0324,Claude_Code,2876006908,5,5,5,5,3,5
Deepseek-V3-0324,Claude_Code,3164503419,5,5,5,5,4,5
Deepseek-V3-0324,Claude_Code,3206405282,5,5,5,5,4,5
Deepseek-V3-0324,Claude_Code,2889835337,4,4,4,5,3,4
Deepseek-V3-0324,Claude_Code,3226401427,5,4,4,5,4,4
Deepseek-V3-0324,Claude_Code,3234650797,5,5,4,5,3,5
Deepseek-V3-0324,Claude_Code,3160653118,5,5,5,4,4,5
Deepseek-V3-0324,Claude_Code,3142181649,5,4,4,4,4,4
Deepseek-V3-0324,Claude_Code,2918329879,3,3,2,4,1,4
Deepseek-V3-0324,Claude_Code,3142373237,5,5,4,4,3,5
Deepseek-V3-0324,Claude_Code,3254647682,5,4,4,4,3,4
Deepseek-V3-0324,Claude_Code,2975165913,4,4,3,4,2,4
Deepseek-V3-0324,Claude_Code,3205893657,4,4,4,5,3,4
Deepseek-V3-0324,Claude_Code,3256692785,5,5,4,4,3,5
Deepseek-V3-0324,Claude_Code,3079303421,5,5,4,5,3,5
Deepseek-V3-0324,Claude_Code,3086930190,5,5,5,4,4,5
Deepseek-V3-0324,Claude_Code,3204784776,4,5,4,5,4,5
Deepseek-V3-0324,Claude_Code,3116600521,5,5,4,4,4,5
Deepseek-V3-0324,Claude_Code,3271748860,5,4,4,4,4,4
Deepseek-V3-0324,Claude_Code,3231951012,4,4,4,4,4,5
Deepseek-V3-0324,Claude_Code,3243533799,4,4,4,4,3,4
Deepseek-V3-0324,Claude_Code,3132093324,5,5,5,4,3,5
Deepseek-V3-0324,Claude_Code,3161355858,5,5,5,4,4,5
Deepseek-V3-0324,Claude_Code,3234660269,5,5,4,4,3,5
Deepseek-V3-0324,Claude_Code,3206950313,4,5,4,5,4,5
Deepseek-V3-0324,Claude_Code,3165176791,5,5,4,5,4,5
Deepseek-V3-0324,Claude_Code,3245668511,5,4,5,4,4,4
Deepseek-V3-0324,Claude_Code,3128534413,5,4,4,4,4,5
Deepseek-V3-0324,Claude_Code,3258566467,5,4,4,4,4,4
Deepseek-V3-0324,Claude_Code,3200679276,5,4,4,4,3,4
Deepseek-V3-0324,Claude_Code,3150229181,5,4,5,5,4,4
Deepseek-V3-0324,Claude_Code,3138264959,5,5,4,4,3,4
Deepseek-V3-0324,Claude_Code,2920999550,4,4,3,3,2,4
Deepseek-V3-0324,Claude_Code,3260236912,5,5,4,4,3,5
Deepseek-V3-0324,Claude_Code,3226500911,4,4,4,3,2,4
Deepseek-V3-0324,Claude_Code,3245456977,4,4,4,4,4,5
Deepseek-V3-0324,Claude_Code,3119417980,5,5,5,5,4,5
Deepseek-V3-0324,Claude_Code,3274969873,4,4,4,4,3,4
Deepseek-V3-0324,Claude_Code,3226145369,5,5,4,4,3,5
Deepseek-V3-0324,Claude_Code,3154339119,4,4,4,4,3,4
Deepseek-V3-0324,Claude_Code,3271014961,5,5,4,3,3,4
Deepseek-V3-0324,Claude_Code,3204479528,5,5,5,5,4,5
Deepseek-V3-0324,Claude_Code,3231953027,5,4,4,3,4,5
Deepseek-V3-0324,Claude_Code,3225792521,5,5,4,4,4,5
Deepseek-V3-0324,Claude_Code,2905716327,4,4,4,4,3,4
Deepseek-V3-0324,Claude_Code,3250235391,5,5,4,5,4,4
Deepseek-V3-0324,Claude_Code,3244853040,5,5,4,4,4,4
Deepseek-V3-0324,Claude_Code,3274038425,4,4,4,5,3,4
Deepseek-V3-0324,Claude_Code,3203856259,5,5,4,5,3,5
Deepseek-V3-0324,Claude_Code,2905670458,4,4,3,4,2,4
Deepseek-V3-0324,Claude_Code,2888657232,5,4,4,5,4,4
Deepseek-V3-0324,Claude_Code,3194442530,5,5,4,5,4,5
Deepseek-V3-0324,Claude_Code,3208559377,5,4,4,4,3,4
Deepseek-V3-0324,Claude_Code,3240533897,5,5,4,5,4,5
Deepseek-V3-0324,Claude_Code,3147721605,5,4,4,4,3,4
Deepseek-V3-0324,Claude_Code,3070114059,2,3,2,2,1,3
Deepseek-V3-0324,Claude_Code,3271943252,4,4,3,4,3,4
Deepseek-V3-0324,Claude_Code,3206889625,5,5,4,5,4,5
Deepseek-V3-0324,Claude_Code,3144015338,5,4,4,3,4,4
Deepseek-V3-0324,Claude_Code,3255598859,5,5,5,5,4,5
Deepseek-V3-0324,Claude_Code,3246681942,4,4,3,3,2,4
Deepseek-V3-0324,Claude_Code,3250173556,4,4,4,4,2,4
Deepseek-V3-0324,Claude_Code,3246950577,4,4,4,4,2,4
Deepseek-V3-0324,Claude_Code,3154770102,5,5,5,3,4,5
Deepseek-V3-0324,Claude_Code,3155322770,4,4,4,4,3,4
Deepseek-V3-0324,Claude_Code,3141541564,5,4,4,3,3,5
Deepseek-V3-0324,Claude_Code,3070160046,3,3,2,4,1,4
Deepseek-V3-0324,Claude_Code,3177654490,5,5,5,5,4,5
Deepseek-V3-0324,Claude_Code,3189507528,5,5,4,5,4,5
Deepseek-V3-0324,Claude_Code,3184850059,4,4,4,4,3,4
Deepseek-V3-0324,Claude_Code,3132410695,5,5,4,4,5,5
Deepseek-V3-0324,Claude_Code,2990012909,4,4,3,4,2,4
Deepseek-V3-0324,Claude_Code,3258270000,5,5,4,4,4,5
Deepseek-V3-0324,Claude_Code,3186370783,5,5,4,5,3,4
Deepseek-V3-0324,Claude_Code,3165023078,4,4,3,4,3,4
Deepseek-V3-0324,Claude_Code,3266626830,4,4,4,5,3,4
Deepseek-V3-0324,Claude_Code,3124189482,5,4,4,5,3,4
Deepseek-V3-0324,Claude_Code,3273233066,5,5,4,5,4,5
Deepseek-V3-0324,Claude_Code,3132739442,5,4,4,5,3,4
Deepseek-V3-0324,Claude_Code,3254644542,4,4,4,4,3,4
Deepseek-V3-0324,Claude_Code,3250746691,5,5,4,4,4,5
Deepseek-V3-0324,Claude_Code,3272397381,5,5,5,4,4,5
Deepseek-V3-0324,Claude_Code,3266170682,5,5,5,5,4,5
Deepseek-V3-0324,Claude_Code,3164736230,5,5,4,4,4,5
Deepseek-V3-0324,Claude_Code,3215868710,5,4,4,4,3,4
Deepseek-V3-0324,Claude_Code,2915198291,4,4,4,4,3,4
Deepseek-V3-0324,Claude_Code,3200698874,5,5,4,5,4,5
Deepseek-V3-0324,Claude_Code,3132378621,5,5,4,5,4,5
Deepseek-V3-0324,Claude_Code,3176421116,2,3,3,3,1,3
Deepseek-V3-0324,Claude_Code,3204772289,5,5,4,4,4,5
Deepseek-V3-0324,Claude_Code,2915784381,4,4,4,4,4,4
Deepseek-V3-0324,Claude_Code,3205273752,5,5,5,4,3,5
Deepseek-V3-0324,Claude_Code,3265118634,5,4,4,4,3,4
Deepseek-V3-0324,Claude_Code,3185547207,5,5,4,3,3,5
Deepseek-V3-0324,Claude_Code,3245313058,5,5,5,5,3,5
Deepseek-V3-0324,Claude_Code,3275609390,5,4,4,5,4,4
Deepseek-V3-0324,Claude_Code,3210688776,4,3,3,4,3,4
Deepseek-V3-0324,Claude_Code,3178007458,5,5,5,5,4,5
Deepseek-V3-0324,Claude_Code,3231954470,4,4,4,3,4,5
Deepseek-V3-0324,Claude_Code,3269703997,5,5,5,5,3,5
Deepseek-V3-0324,Claude_Code,3139315341,5,5,4,5,4,5
Deepseek-V3-0324,Claude_Code,3168142663,4,4,3,4,4,4
Deepseek-V3-0324,Claude_Code,2905748105,4,4,4,4,2,4
Deepseek-V3-0324,Claude_Code,3138117853,5,5,4,5,4,5
Deepseek-V3-0324,Claude_Code,3276605733,4,4,4,4,4,4
Deepseek-V3-0324,Claude_Code,3260232103,4,4,4,5,3,4
Deepseek-V3-0324,Claude_Code,3277329042,5,4,4,4,4,4
Deepseek-V3-0324,Claude_Code,3231955292,5,4,4,4,4,5
Deepseek-V3-0324,Claude_Code,3193248030,4,4,3,4,3,4
Deepseek-V3-0324,Claude_Code,3269831635,5,5,5,5,4,5
Deepseek-V3-0324,Claude_Code,3256172444,4,5,4,4,3,4
Deepseek-V3-0324,Claude_Code,3197344409,5,5,5,5,3,5
Deepseek-V3-0324,Claude_Code,2974598623,3,3,3,4,1,3
Deepseek-V3-0324,Claude_Code,3185859728,5,5,4,4,3,5
Deepseek-V3-0324,Claude_Code,3199027461,5,5,4,4,4,5
Deepseek-V3-0324,Claude_Code,3212218608,4,4,4,4,4,4
Deepseek-V3-0324,Claude_Code,3248139288,4,4,4,4,3,5
Deepseek-V3-0324,Claude_Code,3207905993,5,4,4,4,3,4
Deepseek-V3-0324,Claude_Code,3172785852,5,5,4,4,3,5
Deepseek-V3-0324,Claude_Code,3194483657,5,4,4,5,4,4
Deepseek-V3-0324,Copilot,3198268737,5,5,5,3,3,4
Deepseek-V3-0324,Copilot,3074635096,4,4,4,4,3,4
Deepseek-V3-0324,Copilot,3200423449,5,5,5,5,4,5
Deepseek-V3-0324,Copilot,3161114956,5,4,5,4,3,4
Deepseek-V3-0324,Copilot,3221840679,5,5,5,5,5,5
Deepseek-V3-0324,Copilot,3168670762,5,5,4,4,3,5
Deepseek-V3-0324,Copilot,3210322760,4,4,4,4,3,4
Deepseek-V3-0324,Copilot,3258683661,4,4,4,4,3,4
Deepseek-V3-0324,Copilot,3230879398,5,5,5,5,4,5
Deepseek-V3-0324,Copilot,3125942056,5,4,4,4,3,5
Deepseek-V3-0324,Copilot,3136051607,5,4,5,4,4,4
Deepseek-V3-0324,Copilot,3172600798,5,5,5,3,3,5
Deepseek-V3-0324,Copilot,3143988669,4,4,4,4,3,4
Deepseek-V3-0324,Copilot,3084561388,4,4,4,4,3,4
Deepseek-V3-0324,Copilot,3266954891,5,5,5,4,4,4
Deepseek-V3-0324,Copilot,3253039135,5,5,5,4,3,5
Deepseek-V3-0324,Copilot,3084828268,4,4,4,4,3,4
Deepseek-V3-0324,Copilot,3177107618,5,5,4,4,4,4
Deepseek-V3-0324,Copilot,3084355182,4,4,3,4,1,4
Deepseek-V3-0324,Copilot,3081992708,4,4,4,4,3,4
Deepseek-V3-0324,Copilot,3268595756,5,5,4,4,3,4
Deepseek-V3-0324,Copilot,3227184165,4,4,4,5,3,4
Deepseek-V3-0324,Copilot,3235765325,5,5,5,4,4,5
Deepseek-V3-0324,Copilot,3246510069,5,5,4,4,3,5
Deepseek-V3-0324,Copilot,3126455905,5,5,5,4,4,5
Deepseek-V3-0324,Copilot,3084261971,4,4,4,4,4,4
Deepseek-V3-0324,Copilot,3236423978,5,4,5,4,4,4
Deepseek-V3-0324,Copilot,3093128376,4,4,4,4,3,4
Deepseek-V3-0324,Copilot,3135236406,4,4,3,4,3,4
Deepseek-V3-0324,Copilot,3088130071,5,4,4,4,3,4
Deepseek-V3-0324,Copilot,3273168359,5,5,4,4,3,5
Deepseek-V3-0324,Copilot,3087535228,4,4,4,4,3,4
Deepseek-V3-0324,Copilot,3150780897,5,5,5,4,4,5
Deepseek-V3-0324,Copilot,3205771814,5,5,5,4,3,5
Deepseek-V3-0324,Copilot,3111618330,5,5,4,5,4,5
Deepseek-V3-0324,Copilot,3262902843,5,5,4,5,4,5
Deepseek-V3-0324,Copilot,3154817280,5,4,4,4,4,4
Deepseek-V3-0324,Copilot,3266916497,4,4,3,3,3,4
Deepseek-V3-0324,Copilot,3273151598,5,5,4,4,4,5
Deepseek-V3-0324,Copilot,3079632972,4,4,4,4,3,4
Deepseek-V3-0324,Copilot,3094173620,5,4,4,4,4,4
Deepseek-V3-0324,Copilot,3209849017,5,5,4,5,4,5
Deepseek-V3-0324,Copilot,3268346615,5,4,5,4,4,4
Deepseek-V3-0324,Copilot,3261757119,4,5,4,4,4,4
Deepseek-V3-0324,Copilot,3242348833,4,4,4,4,3,4
Deepseek-V3-0324,Copilot,3178309782,5,4,4,4,3,4
Deepseek-V3-0324,Copilot,3159523566,3,2,3,2,2,3
Deepseek-V3-0324,Copilot,3140383522,4,4,3,4,4,4
Deepseek-V3-0324,Copilot,3177155948,4,4,3,4,3,4
Deepseek-V3-0324,Copilot,3151946493,4,4,4,4,4,4
Deepseek-V3-0324,Copilot,3161179390,5,5,4,3,3,5
Deepseek-V3-0324,Copilot,3201911068,5,5,5,5,4,5
Deepseek-V3-0324,Copilot,3116458562,4,3,3,3,3,4
Deepseek-V3-0324,Copilot,3173294365,4,4,4,4,3,4
Deepseek-V3-0324,Copilot,3222513822,5,4,4,4,4,5
Deepseek-V3-0324,Copilot,3178274846,5,4,4,4,4,4
Deepseek-V3-0324,Copilot,3088985668,5,4,4,3,3,4
Deepseek-V3-0324,Copilot,3075024592,5,4,4,4,3,4
Deepseek-V3-0324,Copilot,3222790638,5,5,4,4,4,5
Deepseek-V3-0324,Copilot,3259959319,5,5,5,5,4,5
Deepseek-V3-0324,Copilot,3102514199,5,5,5,4,4,5
Deepseek-V3-0324,Copilot,3089196599,5,5,4,4,3,4
Deepseek-V3-0324,Copilot,3250793757,5,4,4,4,4,5
Deepseek-V3-0324,Copilot,3141942329,4,4,3,5,4,4
Deepseek-V3-0324,Copilot,3236306681,5,5,5,5,4,5
Deepseek-V3-0324,Copilot,3117074697,5,4,5,4,4,5
Deepseek-V3-0324,Copilot,3189781191,4,3,3,4,3,4
Deepseek-V3-0324,Copilot,3088220705,5,4,4,4,3,5
Deepseek-V3-0324,Copilot,3154081869,5,4,4,4,4,4
Deepseek-V3-0324,Copilot,3195886974,5,5,4,4,4,5
Deepseek-V3-0324,Copilot,3168629538,4,4,3,4,2,4
Deepseek-V3-0324,Copilot,3126732433,5,5,4,5,3,5
Deepseek-V3-0324,Copilot,3215274152,5,5,5,4,4,5
Deepseek-V3-0324,Copilot,3253285828,4,4,4,4,3,4
Deepseek-V3-0324,Copilot,3173833658,5,4,4,4,4,4
Deepseek-V3-0324,Copilot,3246116765,3,2,3,2,2,3
Deepseek-V3-0324,Copilot,3075010876,4,3,4,3,2,4
Deepseek-V3-0324,Copilot,3258115779,5,5,4,5,3,5
Deepseek-V3-0324,Copilot,3173252523,5,5,5,4,4,5
Deepseek-V3-0324,Copilot,3103968651,5,4,4,4,4,5
Deepseek-V3-0324,Copilot,3118336986,5,5,4,4,3,4
Deepseek-V3-0324,Copilot,3160997096,5,5,4,4,4,4
Deepseek-V3-0324,Copilot,3109541003,5,4,4,3,3,4
Deepseek-V3-0324,Copilot,3104620306,4,3,4,3,3,4
Deepseek-V3-0324,Copilot,3256472611,5,5,5,4,4,5
Deepseek-V3-0324,Copilot,3125981699,4,4,4,3,4,4
Deepseek-V3-0324,Copilot,3164460402,5,4,5,4,3,4
Deepseek-V3-0324,Copilot,3167247025,4,3,4,3,3,4
Deepseek-V3-0324,Copilot,3276737729,5,5,4,4,4,4
Deepseek-V3-0324,Copilot,3141365675,3,1,3,3,3,3
Deepseek-V3-0324,Copilot,3187810707,5,5,4,5,3,4
